email,label
"Subject: Bank of America: Verify your identity!

URGENT: Your account will be deactivated!

We notice that your account information is out of date. Please update your records within 48 hours or your account will be terminated.
Update here: http://fakebank-login.com/verify/5012

Thank you,
Account Management",Phishing
"Subject: Verify your account immediately!

Dear customer,

We need you to confirm your email address to continue using our services. Click the link below:
http://secure-login.xyz/confirm?id=39256

If you do not confirm, your account will be closed.

Support Team",Phishing
"Subject: Important: Update your payment method!

Dear Sir/Madam,

I am a representative of a foreign bank. I have $10,500,000 USD that I need to transfer out of my country. I need your assistance and bank account to complete this transfer. You will receive 30% of the total amount.

Please contact me at: prince792@hotmail.com

This is a confidential business proposal.

Best regards,
Dr. David Smith",Phishing
"Subject: Your email password will expire tomorrow!!!

Hello valued customer,

Your account has been compromised by a third party. To protect your information, please login and change your password immediately:
http://192.168.1.1/login/1409

Do not ignore this message! 

Support Team",Phishing
"Subject: Your email password will expire tomorrow!!!

Dear Sir/Madam,

I am a representative of a foreign bank. I have $10,500,000 USD that I need to transfer out of my country. I need your assistance and bank account to complete this transfer. You will receive 30% of the total amount.

Please contact me at: prince792@hotmail.com

This is a confidential business proposal.

Best regards,
Dr. David Smith",Phishing
"Subject: Your email password will expire tomorrow!!!

Dear user,

We detected suspicious activity on your account. Please click the link below to verify your identity immediately:
http://bit.ly/2xVerify2824

Failure to verify within 24 hours will result in account suspension.

Sincerely,
Account Security Team",Phishing
"Subject: PayPal: Your account has been limited!

IMPORTANT: Your domain is expiring!
Renew now to avoid losing your-beautiful-siteshop.com!
http://domain-renew.xyz/renew

Domain Registrar Services",Phishing
"Subject: IRS: You have a tax refund pending!!!

FBI Cyber Security Division

We have detected a cyber attack originating from your IP address. You must download and run the attached security tool immediately!
http://malware-download.xyz/security-tool.exe

Failure to comply may result in legal action.

Special Agent J. Mueller",Phishing
"Subject: Verify your account immediately!

IMPORTANT: Your domain is expiring!
Renew now to avoid losing your-beautiful-siteshop.com!
http://domain-renew.xyz/renew

Domain Registrar Services",Phishing
"Subject: WINNER: You won a lottery prize!!!

FBI Cyber Security Division

We have detected a cyber attack originating from your IP address. You must download and run the attached security tool immediately!
http://malware-download.xyz/security-tool.exe

Failure to comply may result in legal action.

Special Agent J. Mueller",Phishing
"Subject: Urgent: Your account has been compromised!

Your Netflix account has been suspended due to payment failure.
Please update your billing information here:
http://netflix-verify.com/update

We apologize for the inconvenience.
Netflix Billing Team",Phishing
"Subject: Important: Update your payment method!

You have a new secure message from your bank.
Please login to view: http://bank-secure-message.xyz
This message will expire in 24 hours.

Online Banking",Phishing
"Subject: Verify your account immediately!

Your Netflix account has been suspended due to payment failure.
Please update your billing information here:
http://netflix-verify.com/update

We apologize for the inconvenience.
Netflix Billing Team",Phishing
"Subject: PayPal: Your account has been limited!

You have a new secure message from your bank.
Please login to view: http://bank-secure-message.xyz
This message will expire in 24 hours.

Online Banking",Phishing
"Subject: Bank of America: Verify your identity!

Congratulations!!! You have been selected as the winner of our annual lottery!! You have won $5,000,000 USD!!
Click here to claim your prize: http://tinyurl.com/win-46048

This is a limited time offer. Act now!

Lottery Commission",Phishing
"Subject: IRS: You have a tax refund pending!!!

Congratulations!!! You have been selected as the winner of our annual lottery!! You have won $5,000,000 USD!!
Click here to claim your prize: http://tinyurl.com/win-46048

This is a limited time offer. Act now!

Lottery Commission",Phishing
"Subject: Bank of America: Verify your identity!

IMPORTANT: Your domain is expiring!
Renew now to avoid losing your-beautiful-siteshop.com!
http://domain-renew.xyz/renew

Domain Registrar Services",Phishing
"Subject: WINNER: You won a lottery prize!!!

Dear customer,

We need you to confirm your email address to continue using our services. Click the link below:
http://secure-login.xyz/confirm?id=39256

If you do not confirm, your account will be closed.

Support Team",Phishing
"Subject: Amazon: Suspicious purchase detected!!!

IMPORTANT: Your domain is expiring!
Renew now to avoid losing your-beautiful-siteshop.com!
http://domain-renew.xyz/renew

Domain Registrar Services",Phishing
"Subject: Your email password will expire tomorrow!!!

You have a new secure message from your bank.
Please login to view: http://bank-secure-message.xyz
This message will expire in 24 hours.

Online Banking",Phishing
"Subject: FBI: Cyber attack detected on your system!

Your Netflix account has been suspended due to payment failure.
Please update your billing information here:
http://netflix-verify.com/update

We apologize for the inconvenience.
Netflix Billing Team",Phishing
"Subject: Important: Update your payment method!

Dear Sir/Madam,

I am a representative of a foreign bank. I have $10,500,000 USD that I need to transfer out of my country. I need your assistance and bank account to complete this transfer. You will receive 30% of the total amount.

Please contact me at: prince792@hotmail.com

This is a confidential business proposal.

Best regards,
Dr. David Smith",Phishing
